-------Bs Mass Histogram Data Points -----------
  i  x(GeV)  y(evts)   |    i   x(GeV)  y(evts)
------------------------------------------------
  0    2.59       0    |     0    3.59   12016
  1    2.61      90    |     1    3.61     400
  2    2.64     104    |     2    3.64     462
  3    2.66     130    |     3    3.66     434
  4    2.69     114    |     4    3.69     486
  5    2.71     146    |     5    3.71     522
  6    2.74     142    |     6    3.74     428
  7    2.76     174    |     7    3.76     460
  8    2.79     166    |     8    3.79     470
  9    2.81     186    |     9    3.81     408
 10    2.84     204    |    10    3.84     432
 11    2.86     242    |    11    3.86     542
 12    2.89     232    |    12    3.89     472
 13    2.91     222    |    13    3.91     406
 14    2.94     244    |    14    3.94     434
 15    2.96     258    |    15    3.96     464
 16    2.99     308    |    16    3.99     368
 17    3.01     286    |    17    4.01     446
 18    3.04     282    |    18    4.04     374
 19    3.06     320    |    19    4.06     418
 20    3.09     296    |    20    4.09     408
 21    3.11     296    |    21    4.11     368
 22    3.14     304    |    22    4.14     396
 23    3.16     350    |    23    4.16     364
 24    3.19     356    |    24    4.19     368
 25    3.21     358    |    25    4.21     354
 26    3.24     400    |    26    4.24     334
 27    3.26     314    |    27    4.26     388
 28    3.29     366    |    28    4.29     300
 29    3.31     386    |    29    4.31     380
 30    3.34     430    |    30    4.34     350
 31    3.36     404    |    31    4.36     300
 32    3.39     424    |    32    4.39     326
 33    3.41     436    |    33    4.41     300
 34    3.44     456    |    34    4.44     296
 35    3.46     460    |    35    4.46     326
 36    3.49     414    |    36    4.49     254
 37    3.51     400    |    37    4.51     282
 38    3.54     440    |    38    4.54     240
 39    3.56     454    |    39    4.56     214
--------------------------------------------------


-----Bs Total Momentum------Bs Transverse Momentum--
  i  x(GeV/ps^2) y(evts) |   i  x(GeV/ps^2) y(evts)
----------------------------------------------------
  0      9.62    4858    |    0     9.62    20272
  1     10.38    1644    |    1    10.38     1994
  2     11.12    1656    |    2    11.12     1564
  3     11.88    1600    |    3    11.88     1308
  4     12.62    1554    |    4    12.62      978
  5     13.38    1602    |    5    13.38      806
  6     14.12    1570    |    6    14.12      562
  7     14.88    1512    |    7    14.88      482
  8     15.62    1304    |    8    15.62      370
  9     16.38    1132    |    9    16.38      338
 10     17.12    1142    |   10    17.12      232
 11     17.88    1058    |   11    17.88      202
 12     18.62     916    |   12    18.62      170
 13     19.38     822    |   13    19.38      152
 14     20.12     722    |   14    20.12      108
 15     20.88     658    |   15    20.88       96
 16     21.62     628    |   16    21.62       70
 17     22.38     562    |   17    22.38       66
 18     23.12     466    |   18    23.12       52
 19     23.88     468    |   19    23.88       28
