RECO({ `LBN' : 918373, `min_bias' : 25, `zero_bias' : 11, 0 : 25, 1 : 11, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918374, `min_bias' : 12, `zero_bias' : 14, 0 : 12, 1 : 14, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918375, `min_bias' : 52, `zero_bias' : 34, 0 : 52, 1 : 34, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918376, `min_bias' : 29, `zero_bias' : 2, 0 : 29, 1 : 2, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918377, `min_bias' : 44, `zero_bias' : 26, 0 : 44, 1 : 26, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918378, `min_bias' : 26, `zero_bias' : 11, 0 : 26, 1 : 11, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918379, `min_bias' : 29, `zero_bias' : 26, 0 : 29, 1 : 26, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918380, `min_bias' : 35, `zero_bias' : 27, 0 : 35, 1 : 27, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918381, `min_bias' : 41, `zero_bias' : 25, 0 : 41, 1 : 25, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918382, `min_bias' : 49, `zero_bias' : 31, 0 : 49, 1 : 31, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918383, `min_bias' : 24, `zero_bias' : 16, 0 : 24, 1 : 16, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918386, `min_bias' : 0, `zero_bias' : 1, 0 : 0, 1 : 1, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918387, `min_bias' : 33, `zero_bias' : 19, 0 : 33, 1 : 19, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918389, `min_bias' : 39, `zero_bias' : 29, 0 : 39, 1 : 29, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918390, `min_bias' : 51, `zero_bias' : 23, 0 : 51, 1 : 23, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918391, `min_bias' : 28, `zero_bias' : 34, 0 : 28, 1 : 34, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918392, `min_bias' : 44, `zero_bias' : 24, 0 : 44, 1 : 24, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
RECO({ `LBN' : 918397, `min_bias' : 32, `zero_bias' : 22, 0 : 32, 1 : 22, `File' : recoA_reco_all_0000145000_mrg_001-007.raw_p10.14.01.root, `Version' : p10.14.01, `Stream' : all })
